REGION_NM,MON_YR,REGION,STATE,SECTOR,CATEGORY,FUEL,UTILITY,STATION,INST_CAP,PROGRAM_GENERATION,ACTUAL GENERATION
REG4,Apr-16,EASTERN,JHARKHAND,STATE,THERMAL,COAL,TVNL,TENUGHAT TPS,420,235,155.92
REG4,Apr-16,EASTERN,WEST BENGAL,STATE,THERMAL,COAL,WBPDC,KOLAGHAT TPS,1260,517,621.98
REG2,Apr-16,WESTERN,MAHARASHTRA,CENTRAL,THERMAL,NATURAL GAS,RGPPL,RATNAGIRI CCPP I,740,0,0
REG2,Apr-16,WESTERN,CHHATTISGARH,CENTRAL,THERMAL,COAL,NTPC Ltd.,KORBA STPS,2600,1665,1833.17
REG1,Apr-16,NORTHERN,RAJASTHAN,STATE,THERMAL,COAL,RRVUNL,KOTA TPS,1240,574,651.18
REG4,Apr-16,EASTERN,ORISSA,STATE,HYDRO,HYDRO,OHPC,BALIMELA  HPS.,510,108,63.6
REG3,Apr-16,SOUTHERN,ANDHRA PRADESH,PVT,THERMAL,DIESEL,LVS POWER,LVS POWER DG,36.8,0,0
REG3,Apr-16,SOUTHERN,ANDHRA PRADESH,PVT,THERMAL,NATURAL GAS,VEMAGIRI,VEMAGIRI CCPP,370,0,0
REG2,Apr-16,WESTERN,MAHARASHTRA,PVT,HYDRO,HYDRO,TATA MAH.,BHIRA   HPS,150,65,23.33
REG1,Apr-16,NORTHERN,HIMACHAL PRADESH,STATE,HYDRO,HYDRO,HPSEB,GIRI BATA HPS,60,1,1.89
REG1,Apr-16,NORTHERN,PUNJAB,STATE,THERMAL,COAL,PSPCL,GND TPS(BHATINDA),440,104,56.69
REG3,Apr-16,SOUTHERN,ANDHRA PRADESH,PVT,THERMAL,NATURAL GAS,SPGL,GODAVARI CCPP,208,48,29.54
REG1,Apr-16,NORTHERN,UTTAR PRADESH,STATE,THERMAL,COAL,UPRVUNL,HARDUAGANJ TPS,665,393,413.09
REG1,Apr-16,NORTHERN,DELHI,STATE,THERMAL,NATURAL GAS,IPGPCL,I.P.CCPP,270,58,25.88
REG4,Apr-16,EASTERN,WEST BENGAL,STATE,HYDRO,HYDRO,WBSEDCL,JALDHAKA  HPS ST-I,27,10,13.47
REG1,Apr-16,NORTHERN,PUNJAB,STATE,HYDRO,HYDRO,PSPCL,MUKERIAN  HPS,207,10,42.32
REG3,Apr-16,SOUTHERN,TELANGANA,STATE,HYDRO,HYDRO,TSGENCO,NAGARJUN SGR  LBC  HPS,60,0,0
REG4,Apr-16,EASTERN,ORISSA,PVT,THERMAL,COAL,NALCO,NALCO IMP,0,21,23.84
REG3,Apr-16,SOUTHERN,TAMIL NADU,PVT,THERMAL,COAL,ST-CMSECP,NEYVELI TPS(Z),250,152,145.81
REG2,Apr-16,WESTERN,GUJARAT,PVT,THERMAL,NATURAL GAS,GPE CORP,PEGUTHAN CCPP,655,26,45.58
REG2,Apr-16,WESTERN,MADHYA PRADESH,STATE,HYDRO,HYDRO,MPPGCL,BANSAGAR TONS-II  HPS,30,6,3.26
REG1,Apr-16,NORTHERN,JAMMU AND KASHMIR,STATE,THERMAL,NATURAL GAS,JKSPDC,PAMPORE GPS (Liq.),175,0,0
REG4,Apr-16,EASTERN,JHARKHAND,CENTRAL,HYDRO,HYDRO,DVC,PANCHET  HPS.,80,3,0.39
REG1,Apr-16,NORTHERN,RAJASTHAN,CENTRAL,NUCLEAR,NUCLEAR,NPCIL,RAJASTHAN  A.P.S.,1080,662,617.56
REG5,Apr-16,NORTH EASTERN,ARUNACHAL PRADESH,CENTRAL,HYDRO,HYDRO,NEEPCO.,RANGANADI  HPS.,405,55,119.01
REG2,Apr-16,WESTERN,MAHARASHTRA,CENTRAL,THERMAL,NATURAL GAS,RGPPL,RATNAGIRI CCPP III,740,246,173.87
REG5,Apr-16,NORTH EASTERN,TRIPURA,STATE,THERMAL,NATURAL GAS,TSECL,ROKHIA GT,111,32,40.81
REG2,Apr-16,WESTERN,GUJARAT,PVT,THERMAL,NATURAL GAS,TOR. POW. (UNOSUGEN),VATWA CCPP,NA,NA,0
REG3,Apr-16,SOUTHERN,TAMIL NADU,STATE,THERMAL,COAL,TNGDCL,TUTICORIN TPS,1050,581,700.21
REG2,Apr-16,WESTERN,MADHYA PRADESH,PVT,THERMAL,COAL,ESSARPMPL,MAHAN TPP,600,0,3.27
REG2,Apr-16,WESTERN,MAHARASHTRA,PVT,THERMAL,NATURAL GAS,TATA PCL,TROMBAY CCPP,180,74,121.95
REG1,Apr-16,NORTHERN,HARYANA,STATE,THERMAL,COAL,HPGCL,YAMUNA NAGAR TPS,600,217,354.98
REG4,Apr-16,EASTERN,WEST BENGAL,PVT,THERMAL,COAL,DPSCLTD,CHINAKURI TPS,30,0,0
REG1,Apr-16,NORTHERN,HARYANA,STATE,THERMAL,COAL,HPGCL,RAJIV GANDHI TPS,1200,437,534.49
REG3,Apr-16,SOUTHERN,ANDHRA PRADESH,PVT,THERMAL,NATURAL GAS,GMR ENERG,GMR Energy Ltd - Kakinada,220,0,0
REG4,Apr-16,EASTERN,SIKKIM,PVT,HYDRO,HYDRO,DEPL,JORETHANG LOOP,96,11,13.23
REG2,Apr-16,WESTERN,CHHATTISGARH,PVT,THERMAL,COAL,ACB,SWASTIK KORBA TPP,25,0,0
REG2,Apr-16,WESTERN,CHHATTISGARH,PVT,THERMAL,COAL,MCCPL,BANDAKHAR TPP,300,58,0
REG2,Apr-16,WESTERN,MADHYA PRADESH,STATE,HYDRO,HYDRO,MPPGCL,BANSAGAR TONS-1  HPS,315,20,30.36
REG3,Apr-16,SOUTHERN,KARNATAKA,STATE,HYDRO,HYDRO,KPCL,BHADRA  HPS,39.2,4,2.46
